timestamp,days_from_20160101,stimchoice1,stimchoice2,stimchosen,correctidx,correct_stim,is_choice_color,chose_correct
1459432498821,90.57984746527778,3,8,8,2,8,0,1
1459434391597,90.6017545949074,8,2,8,1,8,0,1
1459434542340,90.60349930555556,2,12,12,2,12,0,1
1459434544738,90.6035270601852,13,2,2,2,2,1,1
1459434920821,90.6078798726852,14,2,14,1,14,1,1
1459434928750,90.60797164351852,3,7,3,1,3,1,1
1459434940410,90.60810659722222,9,1,1,2,1,1,1
1459435031586,90.609161875,6,6,6,1,6,1,1
1459435041624,90.60927805555556,5,6,6,2,6,1,1
1459435393896,90.61335527777776,3,4,4,1,3,1,0
1459435411445,90.61355839120372,5,4,5,1,5,0,1
1459435423410,90.613696875,5,11,5,1,5,1,1
1459435425446,90.61372043981484,11,1,11,1,11,1,1
1459435533085,90.61496626157408,4,10,10,2,10,0,1
1459435545130,90.61510567129628,4,6,6,1,4,1,0
1459435594744,90.6156799074074,7,14,7,1,7,0,1
1459435750611,90.6174839236111,11,9,9,2,9,1,1
1459435768446,90.61769034722222,3,7,3,1,3,0,1
1459435844335,90.61856869212964,12,13,13,2,13,1,1
1459435966616,90.61998398148148,6,12,12,2,12,1,1
1459435967742,90.61999701388888,14,8,14,1,14,0,1
1459435980255,90.62014184027778,6,8,6,1,6,0,1
1459436152846,90.6221394212963,5,3,3,2,3,1,1
1459436481800,90.62594675925924,6,7,6,1,6,0,1
1459436528310,90.62648506944444,8,9,8,1,8,0,1
1459436633203,90.62769910879628,3,6,6,2,6,0,1
1459436652754,90.62792539351852,6,12,6,1,6,1,1
1459436654938,90.6279506712963,12,1,1,2,1,1,1
1459436694754,90.62841150462964,2,13,13,2,13,0,1
1459436714280,90.6286375,3,14,14,2,14,0,1
1459436722751,90.62873554398148,14,11,14,1,14,1,1
1459436893715,90.63071429398148,6,3,6,1,6,1,1
1459436895840,90.63073888888889,2,11,2,1,2,0,1
1459436898130,90.63076539351852,4,14,4,1,4,1,1
1459437055645,90.6325884837963,10,2,2,1,10,0,0
1459437087911,90.63296193287036,7,12,12,2,12,1,1
1459437095416,90.6330487962963,13,11,11,2,11,1,1
1459437219324,90.63448291666668,11,12,12,1,11,1,0
1459437227767,90.63458063657409,11,5,11,1,11,0,1
1459437241405,90.6347384837963,14,11,11,2,11,1,1
1459437287341,90.63527015046296,5,3,5,1,5,0,1
1459437293559,90.63534211805556,4,5,4,1,4,1,1
1459437302716,90.63544810185184,10,7,10,1,10,0,1
1459437334518,90.63581618055557,4,6,4,1,4,0,1
1459437341385,90.63589565972222,2,4,2,1,2,0,1
1459437348208,90.63597462962964,10,13,13,2,13,0,1
1459437402825,90.63660677083334,5,4,4,2,4,0,1
1459437403395,90.63661336805556,6,13,13,2,13,1,1
1459437424273,90.63685501157408,3,3,3,1,3,0,1
1459437487866,90.63759104166668,8,13,13,2,13,0,1
1459437499447,90.63772508101852,14,10,14,1,14,1,1
1459437626577,90.63919649305556,2,8,2,1,2,1,1
1459437788110,90.64106608796295,13,11,11,2,11,1,1
1459437808837,90.6413059837963,12,8,8,2,8,0,1
1459437895866,90.6423132638889,5,10,5,1,5,0,1
1459438197271,90.64580174768518,11,9,11,1,11,0,1
1459438585841,90.65029908564814,12,10,12,1,12,0,1
1459438588691,90.65033207175924,4,5,4,2,5,1,0
1459438594763,90.65040234953705,11,6,11,1,11,0,1
1459438726731,90.65192975694444,8,13,8,1,8,0,1
1459438736325,90.65204079861113,10,2,10,1,10,0,1
1459438811480,90.65291064814816,14,10,10,2,10,1,1
1459439193914,90.65733696759258,14,1,1,2,1,0,1
1459439472202,90.66055789351852,11,12,11,1,11,1,1
1459439476462,90.66060719907408,4,1,4,1,4,1,1
1459439862205,90.66507181712964,12,5,12,1,12,0,1
1459762473591,94.39899989583331,1,2,1,1,1,1,1
1459762655265,94.40110260416668,11,6,11,1,11,1,1
1459763006540,94.40516828703704,7,13,13,1,7,0,0
1459763067554,94.40587446759258,8,7,7,2,7,0,1
1459763077310,94.40598738425923,14,3,14,1,14,1,1
1459763160435,94.40694947916666,10,4,4,2,4,1,1
1459763381888,94.4095125925926,9,8,9,1,9,1,1
1459763486039,94.41071804398148,8,13,13,2,13,0,1
1459763549693,94.4114547800926,4,7,4,1,4,1,1
1459763737904,94.41363314814816,2,1,2,1,2,1,1
1459763752440,94.4138013888889,13,9,13,1,13,1,1
1459763777000,94.41408564814814,11,6,6,2,6,0,1
1459763813528,94.41450842592592,10,5,10,1,10,1,1
1459763852508,94.41495958333334,1,8,1,1,1,0,1
1459763862341,94.4150733912037,13,1,13,1,13,1,1
1459763912400,94.41565277777778,13,12,13,1,13,0,1
1459763918506,94.41572344907408,14,7,7,2,7,1,1
1459763928445,94.41583848379628,10,2,2,2,2,0,1
1459763934070,94.41590358796296,5,1,1,2,1,0,1
1459763962514,94.41623280092593,12,11,11,1,12,1,0
1459763972295,94.41634600694444,9,3,3,2,3,0,1
