days_from_20160101,stimchoice1,stimchoice2,stimchosen,correct_stim,is_choice_color,chose_correct
31,4,1,4,1,1,0
31,11,12,11,11,0,1
31,7,4,7,4,1,0
31,5,10,5,5,0,1
31,0,7,0,0,0,1
31,9,13,9,13,0,0
31,12,12,12,12,0,1
31,5,13,5,13,0,0
31,6,9,6,9,0,0
31,7,12,7,12,1,0
31,7,1,7,1,0,0
31,1,1,1,1,0,1
31,7,4,7,7,0,1
31,2,0,2,0,1,0
31,2,9,2,9,1,0
31,7,8,7,8,1,0
31,10,11,10,11,1,0
31,6,7,6,7,1,0
31,7,2,7,7,0,1
31,2,5,2,2,0,1
31,0,9,0,0,1,1
31,3,8,3,8,0,0
31,5,11,5,11,1,0
31,7,11,7,7,1,1
31,5,7,5,7,1,0
31,11,13,11,11,0,1
31,8,9,8,9,1,0
31,4,0,0,0,1,1
31,11,4,11,11,1,1
31,6,12,6,6,1,1
31,2,13,2,13,1,0
31,13,8,13,13,0,1
31,6,1,1,1,0,1
31,8,8,8,8,1,1
31,7,6,7,7,0,1
31,4,9,4,4,1,1
31,2,11,2,2,0,1
31,7,1,7,1,0,0
31,3,10,3,10,1,0
31,2,11,2,11,1,0
31,1,6,1,6,0,0
31,3,10,3,10,0,0
31,13,11,13,13,0,1
31,12,11,12,11,0,0
31,12,8,12,8,0,0
31,8,0,8,8,1,1
31,10,8,10,8,0,0
31,9,6,9,6,0,0
31,5,6,5,5,1,1
31,9,13,9,9,1,1
31,6,0,6,0,1,0
31,8,7,8,7,0,0
31,8,4,8,4,0,0
31,11,7,11,7,0,0
31,4,7,4,4,1,1
31,12,0,12,12,1,1
31,1,11,11,11,0,1
31,2,2,2,2,0,1
31,4,1,4,1,1,0
31,7,10,7,7,1,1
31,11,9,11,9,0,0
31,4,0,0,0,0,1
31,9,6,9,9,0,1
31,6,9,6,9,1,0
31,7,3,7,3,0,0
31,2,6,2,6,0,0
31,5,13,5,13,1,0
31,4,7,4,7,0,0
31,12,2,12,2,1,0
31,11,11,11,11,0,1
31,12,12,12,12,1,1
31,5,11,5,11,1,0
31,4,9,4,4,0,1
31,2,5,2,5,1,0
31,2,7,2,7,1,0
31,11,4,11,11,1,1
31,10,3,10,10,0,1
31,13,13,13,13,1,1
31,3,10,3,3,0,1
31,5,2,5,5,0,1
31,4,9,4,9,0,0
31,1,2,1,1,1,1
31,13,6,13,13,0,1
31,8,9,8,8,0,1
31,1,12,12,12,1,1
31,1,2,1,2,0,0
31,9,12,9,9,1,1
31,2,0,0,0,0,1
